type,description
Fighting,"['Colorless', 'Colorless'],Wing Attack,'',20"
Water,"['Colorless'],Delusion,'If Psyduck is Confused, draw 2 cards.',"
Water,"['Colorless'],Migraine,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused. If tails, Psyduck is now Confused.',10"
Colorless,"['Colorless', 'Colorless'],Glare and Peck,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Grass,"['Grass', 'Colorless'],Sleep Seed,'The Defending Pok\u00e9mon is now Asleep.',20"
Grass,"['Grass', 'Colorless', 'Colorless'],Vine Whip,'',40"
Colorless,"['Colorless'],Call for Family,'Search your deck for a Basic Pok\u00e9mon and put it onto your Bench. Shuffle your deck afterward.',"
Colorless,"['Colorless', 'Colorless'],Tail Smack,'',20"
Psychic,"['Darkness', 'Colorless'],Dark Clamp,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',30"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Blazing Claws,'If the Defending Pok\u00e9mon is a Team Plasma Pok\u00e9mon, this attack does 60 more damage, and the Defending Pok\u00e9mon is now Burned.',60+"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Echoed Voice,'During your next turn, this Pok\u00e9mon's Echoed Voice attack does 50 more damage (before applying Weakness and Resistance).',50"
Psychic,"['Colorless'],Smack,'',10"
Psychic,"['Psychic'],Confuse Ray,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Clutch,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',60"
Fire,"['Fire', 'Colorless'],Flaming Punch,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Burned.',10"
Fire,"['Fire', 'Colorless', 'Colorless'],Thrash,'Flip a coin. If heads, this attack does 30 damage plus 10 more damage. If tails, Magmar does 10 damage to itself.',30+"
Grass,"['Colorless'],Poison Fang,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.',"
Grass,"['Grass', 'Colorless', 'Colorless'],Bite,'',40"
Colorless,"['Colorless'],Scratch,'',10"
Colorless,"['Colorless', 'Colorless'],Fury Cutter,'Flip 3 coins. If 1 of them is heads, this attack does 10 damage plus 10 more damage. If 2 of them are heads, this attack does 10 damage plus 20 more damage. If all of them are heads, this attack does 10 damage plus 40 more damage.',10+"
Fire,"['Colorless', 'Colorless'],Slash,'',20"
Fire,"['Fire', 'Colorless', 'Colorless'],Super Singe,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Burned.',40"
Water,"['Colorless'],Shell Rest,'Remove 2 damage counters from Shellder.',"
Water,"['Water', 'Colorless'],Tongue Slap,'',20"
Psychic,"['Colorless', 'Colorless'],Body Slam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Psychic,"['Psychic', 'Colorless', 'Colorless', 'Colorless'],Mega Impact,'',70"
Water,"['Colorless'],Shell Hunting,'Search your deck for up to 2 in any combination of Shellos West Sea and Shellos East Sea and put them onto your Bench. Shuffle your deck afterward.',"
Water,"['Water'],Sprinkle Water,'',10"
Grass,"['Grass', 'Colorless'],Ferment Poison,'The Defending Pok\u00e9mon is now Poisoned. As long as the Defending Pok\u00e9mon remains Poisoned by this attack, it can't use any Pok\u00e9-Body.',10"
Colorless,"['Fairy', 'Colorless'],Draining Kiss,'Heal 30 damage from this Pok\u00e9mon.',30"
Fire,"['Colorless'],Tail Slap,'',30"
Fire,"['Fire', 'Colorless'],Evolving Flare,'If Flareon evolved from Eevee during this turn, this attack does 40 damage plus 20 more damage and the Defending Pok\u00e9mon is now Burned.',40+"
Colorless,"['Colorless', 'Colorless'],Revenge,'If any of your Pok\u00e9mon were Knocked Out by damage from an opponent's attack during his or her last turn, this attack does 70 more damage.',20+"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Head Charge,'Flip a coin. If tails, this Pok\u00e9mon does 20 damage to itself.',80"
Psychic,"['Colorless'],Drool,'',20"
Psychic,"['Psychic', 'Colorless'],Acid,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',30"
Fighting,"['Fighting'],Headbutt,'',20"
Lightning,"['Lightning', 'Colorless'],Whirlwind,'Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',30"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Double Hit,'Flip 2 coins. This attack does 30 damage times the number of heads.',30\u00d7"
Fire,"['Colorless', 'Colorless'],Outrage,'Does 10 more damage for each damage counter on this Pok\u00e9mon.',20+"
Fire,"['Fire', 'Fire', 'Colorless'],Blue Flare,'Discard 2 Fire Energy attached to this Pok\u00e9mon.',120"
Colorless,"['Colorless'],Rage,'This attack does 10 more damage for each damage counter on this Pok\u00e9mon.',20+"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Endeavor,'Flip 2 coins. This attack does 20 more damage for each heads.',50+"
Water,"['Colorless'],Calling Wave,'Search your deck for up to 2 Gastrodon and put them onto your Bench as Basic Pok\u00e9mon. Put 2 damage counters on each of them. Shuffle your deck afterward.',"
Water,"['Water', 'Colorless'],Wave Splash,'',40"
Grass,"['Grass', 'Colorless', 'Colorless'],Double Kick,'Flip 2 coins. This attack does 30 damage times the number of heads.',30\u00d7"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Horn Drill,'',50"
Fire,"['Fire', 'Colorless'],Super Singe,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Burned.',20"
Fire,"['Colorless', 'Colorless', 'Colorless'],Tackle,'',30"
Psychic,"['Psychic'],Gossip,'Put 1 damage counter on 1 of your opponent's Pok\u00e9mon.',"
Psychic,"['Colorless', 'Colorless'],Hang Down,'',20"
Psychic,"['Colorless'],Scratch,'',10"
Psychic,"['Psychic'],Confuse Ray,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',"
Grass,"['Colorless'],Growth,'Attach a Grass Energy card from your hand to this Pok\u00e9mon.',"
Grass,"['Grass', 'Colorless', 'Colorless'],Razor Leaf,'',30"
Colorless,"['Colorless', 'Colorless'],Dig,'Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pok\u00e9mon during your opponent's next turn.',10"
Colorless,"['Colorless'],Me First,'Draw a card.',"
Colorless,"['Colorless', 'Colorless'],Peck,'',20"
Grass,"['Colorless'],Sleep Powder,'The Defending Pok\u00e9mon is now Asleep.',10"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Energy Cutoff,'Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon.',80"
Water,"['Colorless'],Charm,'During your opponent's next turn, any damage done by attacks from the Defending Pok\u00e9mon is reduced by 20 (before applying Weakness and Resistance).',"
Water,"['Water', 'Colorless'],Peck,'',20"
Grass,"['Free'],Focus Energy,'During your next turn, Heracross 's Megahorn attack's base damage is 100.',"
Grass,"['Grass', 'Colorless'],Megahorn,'Flip a coin. If tails, this attack does nothing.',50"
Grass,"['Colorless'],Sleep Seed,'The Defending Pok\u00e9mon is now Asleep.',"
Grass,"['Grass', 'Colorless'],Vine Whip,'',20"
Water,"['Colorless', 'Colorless', 'Colorless'],Strafe,'You may switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.',50"
Water,"['Grass', 'Water', 'Colorless', 'Colorless'],Dimension Heal,'Heal from this Pok\u00e9mon 20 damage for each Plasma Energy attached to this Pok\u00e9mon.',80"
Psychic,"['Colorless'],Bite,'',10"
Colorless,"['Colorless'],Fury Attack,'Flip 2 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Grass,"['Colorless'],Sun Soak,'Flip a coin. If heads, remove all damage counters from Sunkern, search your deck for an Evolution card that evolves from Sunkern, and put it onto Sunkern. (This counts as evolving Sunkern.) Shuffle your deck afterward.',"
Grass,"['Grass'],Seed Bomb,'',20"
Fighting,"['Fighting'],Attract,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Mud-Slap,'',70"
Water,"['Colorless', 'Colorless'],Rapid Spin,'Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon. Then, your opponent switches his or her Active Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',30"
Water,"['Water', 'Water', 'Water'],Splash Bomb,'Flip a coin. If tails, this Pok\u00e9mon does 30 damage to itself.',120"
Water,"['Water'],Water Gun,'Does 10 damage plus 10 damage for each Energy attached to Poliwag but not used to pay for this attack's Energy cost. Extra Energy after the end don't count.',10+"
Psychic,"['Colorless'],Dazzle Dance,'Flip a coin. If heads, each Defending Pok\u00e9mon is now Confused.',"
Psychic,"['Psychic'],Life Drain,'Flip a coin. If heads, put damage counters on the Defending Pok\u00e9mon until it is 10 HP away from being Knocked Out.',"
Fighting,"['Colorless'],Save Sand,'Does 20 damage plus 10 more damage for each Energy attached to Hippowdon. Before doing damage, you may search your discard pile for a Fighting Energy card and attach it to Hippowdon.',20+"
Fighting,"['Fighting', 'Fighting', 'Colorless', 'Colorless'],Groundquake,'Does 10 damage to each Benched Pok\u00e9mon that isn't an Evolved Pok\u00e9mon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',80"
Fighting,"['Metal'],Magnitude,'Does 10 damage to each Benched Pok\u00e9mon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',20"
Fighting,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],One-Two Strike,'Flip 2 coins. This attack does 30 damage plus 20 more damage for each heads.',30+"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Damage Blast,'Flip a number of coins equal to the number of damage counters on the Defending Pok\u00e9mon. This attack does 30 damage plus 10 more damage for each heads.',30+"
Colorless,"['Colorless'],Honey Snack,'Heal 20 damage from this Pok\u00e9mon.',"
Colorless,"['Colorless', 'Colorless'],Scratch,'',20"
Grass,"['Colorless'],Headbutt,'',10"
Grass,"['Colorless', 'Colorless'],Entangling Thread,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Fighting,"['Colorless'],Inviting Trap,'Switch the Defending Pok\u00e9mon with 1 of your opponent's Benched Pok\u00e9mon.',"
Fighting,"['Fighting'],Sand Tomb,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',10"
Fighting,"['Colorless', 'Colorless'],Joust,'Before doing damage, discard all Pok\u00e9mon Tool cards attached to your opponent's Active Pok\u00e9mon.',30"
Fighting,"['Metal', 'Metal', 'Colorless'],Tailspin Piledriver,'If your opponent's Active Pok\u00e9mon already has any damage counters on it, this attack does 40 more damage.',80+"
Colorless,"['Colorless', 'Colorless'],Picnic Weather,'Put a Teddiursa from your discard pile onto your Bench. Then, attach an Energy card from your discard pile to that Pok\u00e9mon.',"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Fury Swipes,'Flip 3 coins. This attack does 50 damage times the number of heads.',50\u00d7"
Grass,"['Colorless'],Hypnotic Gaze,'The Defending Pok\u00e9mon is now Asleep.',"
Grass,"['Grass', 'Colorless'],Double Scratch,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Fighting,"['Colorless'],Gnaw,'',10"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Relaxed Roll,'Flip a coin until you get tails. This attack does 30 damage times the number of heads.',30\u00d7"
Fighting,"['Fighting'],Fake Out,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Fire,"['Colorless'],Headbutt,'',10"
Fire,"['Fire', 'Colorless'],Burn Off,'Flip a coin. If heads, each Defending Pok\u00e9mon is now Burned.',"
Psychic,"['Psychic', 'Psychic'],Bring Down,'Choose 1 Pok\u00e9mon (yours or your opponent's) with the fewest remaining HP (excluding Gardevoir) and that Pok\u00e9mon is now Knocked Out.',"
Colorless,"['Colorless'],Tackle,'',10"
Colorless,"['Colorless', 'Colorless'],Lunge,'Flip a coin. If tails, this attack does nothing.',30"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Echoed Voice,'During your next turn, this Pok\u00e9mon's Echoed Voice attack does 50 more damage (before applying Weakness and Resistance).',50"
Grass,"['Colorless'],Energy Crush,'Does 20 damage times the amount of Energy attached to all of your opponent's Pok\u00e9mon.',20\u00d7"
Grass,"['Grass', 'Colorless', 'Colorless'],Leaf Blade,'Flip a coin. If heads, this attack does 20 more damage.',60+"
Psychic,"['Psychic', 'Psychic'],Fluffy Dream,'This Pok\u00e9mon is now Asleep.',40"
Grass,"['Colorless'],Tail Slap,'',10"
Grass,"['Grass', 'Colorless'],Razor Leaf,'',20"
Fire,"['Fire', 'Colorless', 'Colorless'],Heat Boiler,'If this Pok\u00e9mon is affected by a Special Condition, this attack does 60 more damage.',60+"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless'],Dynamite Press,'If this Pok\u00e9mon has any Plasma Energy attached to it, this attack does 10 more damage for each damage counter on the Defending Pok\u00e9mon.',80+"
Grass,"['Grass'],Wrapped in Wind,'You may attach a basic Energy card from your hand to this Pok\u00e9mon.',30"
Grass,"['Grass', 'Grass', 'Colorless'],Pike,'This attack does 30 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',90"
Fire,"['Fire', 'Colorless'],Combustion,'',50"
Fire,"['Fire', 'Fire', 'Colorless'],Fire Fang,'Your opponent's Active Pok\u00e9mon is now Burned.',100"
Fire,"['Fire', 'Fire', 'Colorless'],Brave Burn-GX,'This attack does 150 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) (You can't use more than 1 GX attack in a game.)',"
Grass,"['Colorless'],Wrap,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Grass,"['Grass', 'Colorless'],Tackle,'',30"
Grass,"['Grass', 'Colorless'],Leaf Tornado,'Move as many Grass Energy attached to your Pok\u00e9mon to your other Pok\u00e9mon in any way you like.',60"
Grass,"['Grass'],Synthesis,'Search your deck for a Grass Energy card and attach it to 1 of your Pok\u00e9mon. Shuffle your deck afterward.',"
Grass,"['Grass', 'Colorless'],Revenge Blast,'Does 30 more damage for each Prize card your opponent has taken.',30+"
Fire,"['Colorless', 'Colorless'],Outrage,'Does 10 more damage for each damage counter on this Pok\u00e9mon.',20+"
Fire,"['Fire', 'Fire', 'Colorless'],Blue Flare,'Discard 2 Fire Energy attached to this Pok\u00e9mon.',120"
Grass,"['Grass'],Sleep Powder,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Asleep.',10"
Grass,"['Colorless'],Double Kick,'Flip 2 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Grass,"['Grass', 'Colorless'],Leech Seed,'Heal 10 damage from this Pok\u00e9mon.',20"
Fire,"['Fire', 'Colorless', 'Colorless'],Purifying Flame,'Remove all Special Conditions from this Pok\u00e9mon.',50"
Fire,"['Fire', 'Colorless', 'Colorless', 'Colorless'],Fusion Flare,'If Zekrom is on your Bench, this attack does 40 more damage.',80+"
Grass,"['Grass', 'Grass'],Spontaneous Explosion,'Flip a coin. If heads, this attack does 10 damage plus 30 more damage and Koga's Weezing does 30 damage to itself; if tails, this attack does 10 damage.',10+"
Grass,"['Grass', 'Grass', 'Colorless'],Toxic Cloud,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).',"
Psychic,"['Psychic'],Replace,'Move as many Energy attached to your Pok\u00e9mon to your other Pok\u00e9mon in any way you like.',"
Colorless,"['Colorless'],Shining Fingers,'The Defending Pok\u00e9mon is now Asleep.',"
Colorless,"['Colorless'],Slap,'',10"
Fire,"['Fire'],Tackle,'',10"
Fire,"['Fire', 'Colorless'],Rollout,'',20"
Fire,"['Colorless'],Flame Charge,'Search your deck for a Fire Energy card and attach it to this Pok\u00e9mon. Shuffle your deck afterward.',"
Fire,"['Fire', 'Fire', 'Colorless'],Heat Crash,'',50"
Water,"['Water', 'Water'],Ice Throw,'If the Defending Pok\u00e9mon is , this attack's base damage is doubled.',"
Water,"['Water', 'Colorless', 'Colorless', 'Colorless'],Take Down,'Misty's Dewgong does 20 damage to itself.',60"
Water,"['Water'],Smokescreen,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',20"
Water,"['Colorless'],Refreshing Rain,'Heal 30 damage from each of your Pok\u00e9mon.',"
Water,"['Water', 'Colorless'],Gold Breaker,'If the Defending Pok\u00e9mon is a Pok\u00e9mon-EX, this attack does 50 more damage.',30+"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless'],Heat Crash,'',80"
Fire,"['Colorless'],Scratch,'',10"
